sub_system_id,sub_system_name,remarks,InCharge
3,模拟科技,,@YuC
5,星宝宝,,LinTeam
6,宝凯道融,,LinTeam
7,迩格科技,,@wangkp
9,仙人掌,,@louxinyuan
10,博汇九洲,,LinTeam
11,有住网,,LinTeam
12,浙江虹越花卉,,LinTeam
15,国家考试中心,,@yms
16,老板电器,,LinTeam
19,AIA友邦,,LinTeam
22,信投在线,,LinTeam
23,公安高等学校,,@YuC
24,兴记时尚,Pending,@YuC
27,大达物流,,LinTeam
28,张江集团,,@YuC
29,杭果,,LinTeam
31,牛津仪器,,LinTeam
32,艺福堂,,LinTeam
33,花间堂,,@YuC
34,金程教育,,@YuC
35,老庙餐饮,,LinTeam
36,重庆天极,,@YuC
37,中铁15局,,LinTeam
38,云柚科技,,LinTeam
39,三生国健,NoPermission,@YuC
40,极库信息,,LinTeam
41,莱仕,,@YuC
42,重庆汽摩,,LinTeam
43,迅凯催化,,@YuC
44,静安红会,,@YuC
45,大脑地图,,LinTeam
46,曼卡龙,,LinTeam
48,达尔威,,@louxinyuan
50,科沃斯,科沃斯方面收集数据,科沃斯
51,上海海洋水族馆,,@YuC
52,污染地图,,@YuC
53,Belbin,,@YuC
54,夏普,Pending,@YuC
55,青岛两栖,,@YuC
59,嘉宝物流,,@YuC
60,安朗杰,Pending,@YuC
62,冠生园,,@DiWk;@louxinyuan
63,中广格兰,,@louxinyuan
64,驻云-ops-运维团队,,@WangKp
67,谷新投资,NoPermission,@YuC
70,晓圈科技,,@HeChengcheng
71,猛士网络,,@HeChengcheng
72,永佳网络,,@YuC
73,赶街电子,,@WangKp
74,腾赋网络,,@Yms
75,浙江群硕,,@muyongxue
76,美户通,,@jiangdilong
77,国家海洋,,@Yms
78,泽稷教育,,@chuancf
79,中宣部,,@Yms
80,千颂网络,Pending,@HeChengcheng
81,麦穗科技,Pending,@HeChengcheng
82,鑫圆网络,,@mengguotao
83,坤金泉,,@louxinyuan
84,网天下,,@louxinyuan
85,捷信医药,,@YuC
86,斯维登,,@YuC
88,相宜本草,,@YuC
89,深圳智家,,@YuC
90,水文新技术,,@muyongxue
91,睿云,,@muyongxue
92,快鱼服饰,,@muyongxue
93,上海奕尚,,@zhucui
94,速珂,,@ChenLiang
95,巨昂,,@DiWk
96,黎明保险,,@wenjun
97,水松缘生物科技,,@YuC
98,创一佳照明,,@YuC
99,国土资源,,@YuC
100,华东医药,,@muyongxue
101,测二院,,@liuyongjun
102,卓建服饰,,@liuyongjun
103,第一网校,,@muyongxue
104,喜盈门,,@wenjun
105,驻云科技-devops,,@guwenjun
106,故宫博物院,,@louxinyuan
107,上海外教社,,@muyongxue
108,普乐师,,@xiangbin
109,华颂商旅,,@wenjun
110,广东易拍即合广告有限公司,,@ChenLiang
111,美年大健康,,@wangkp
112,厚大司考,,@jianghe
